"country","capital","type","currency","abbreviation","composition"
"Kenya","Nairobi","countryCapital","Kenyan Shilling"
"Kiribati","Tarawa","countryCapital","Australian Dollar"
"Kosovo","Pristina","countryCapital","Euro"
"Kuwait","Kuwait City","countryCapital","Kuwaiti Dinar"
"Kyrgyzstan","Bishkek","countryCapital","Kyrgystani Som"
"Laos","Vientiane","countryCapital","Lao Kip"
"Latvia","Riga","countryCapital","Euro"
"Lebanon","Beirut","countryCapital","Lebanese Pound"
"Lesotho","Maseru","countryCapital","Lesotho Loti"
"Liberia","Monrovia","countryCapital","Liberian Dollar"
"Libya","Tripoli","countryCapital","Lybian Dinar"
"Liechtenstein","Vaduz","countryCapital","Swiss Franc"
"Lithuania","Vilnius","countryCapital","Euro"
"Luxembourg","Luxembourg","countryCapital","Euro"
"Macedonia","Skopje","countryCapital"
"Madagascar","Antananarivo","countryCapital","Malagasy Ariary"
"Malawi","Lilongwe","countryCapital","Malawian Kwacha"
"Malaysia","Kuala Lumpur","countryCapital","Malaysian Ringgit"
"Maldives","Malé","countryCapital","Maldivian Rufiyaa"
"Mali","Bamako","countryCapital","West African Franc"
"Malta","Valletta","countryCapital","Euro"
"Mauritania","Nouakchott","countryCapital","Mauritanian Ouguiya"
"Mauritius","Port Louis","countryCapital","Mauritian Rupee"
"Mexico","Mexico City","countryCapital","Mexican Peso"
"Moldova","Chisinau","countryCapital","Moldovan Ieu"
"Monaco","Monaco","countryCapital","Euro"
"Mongolia","Ulaanbaatar","countryCapital","Mongolian Togrog"
"Montenegro","Podgorica","countryCapital","Euro"
"Morocco","Rabat","countryCapital","Moroccan Dirham"
"Mozambique","Maputo","countryCapital","Mozambican Metical"
"Myanmar","Naypyidaw","countryCapital","Burmese Kyat"
"Nagorno-Karabakh Republic","Stepanakert","countryCapital","Nagorno-Karabakh Dram", "Karabakh"
"Namibia","Windhoek","countryCapital","Namibian Dollar"
"Nauru","Yaren","countryCapital","Australian Dollar"
"Nepal","Kathmandu","countryCapital","Nepalese Rupee"
"Netherlands","Amsterdam","countryCapital","Euro"
"New Zealand","Wellington","countryCapital","New Zealand Dollar","Zealand"
"Nicaragua","Managua","countryCapital","Nicaraguan Cordoba"
"Niger","Niamey","countryCapital","West African Franc"
"Nigeria","Abuja","countryCapital","Nigerian Naira"
"North Korea","Pyongyang","countryCapital","North Korean Won","North"
"Northern Cyprus","Nicosia","countryCapital","Turkish Lira","Cyprus"
"Northern Ireland","Belfast","countryCapital","United Kindgom Pound Sterling", "Northern"
"Norway","Oslo","countryCapital","Norwegian Krone"
"Oman","Muscat","countryCapital","Omani Rial"
"Pakistan","Islamabad","countryCapital","Pakistani Rupee"
"Palau","Ngerulmud","countryCapital","United States Dollar"
"Palestine","Jerusalem","countryCapital","Israeli Shekel"
"Panama","Panama City","countryCapital","Panamanaian Balboa"
"Papua New Guinea","Port Moresby","countryCapital","Papuan New Guinean Kina","Papua"
"Paraguay","Asunción","countryCapital","Paraguyan Gurani"
"Peru","Lima","countryCapital","Peruvian Sol"
"Philippines","Manila","countryCapital","Philipines Peso"
"Poland","Warsaw","countryCapital","Polish Zloty"
"Portugal","Lisbon","countryCapital","Euro"
"Puerto Rico","San Juan","countryCapital","United States Dollar","Puerto"
"Qatar","Doha","countryCapital","Qatari Riyal"
"Republic of the Congo","Brazzaville","countryCapital","Central African Franc","Congo" 
"Romania","Bucharest","countryCapital","Romanian Ieu"
"Russia","Moscow","countryCapital","Russian Ruble"
"Rwanda","Kigali","countryCapital","Rwandan Franc"
"Saint Kitts and Nevis","Basseterre","countryCapital","East Caribbean Dollar","Saint Kitts","Kitts"
"Saint Lucia","Castries","countryCapital","East Caribbean Dollar","Lucia"
"Saint Vincent and the Grenadines","Kingstown","countryCapital","East Carribean Dollar","Grenadines"
"Samoa","Apia","countryCapital","Samoan Tala"
"San Marino","San Marino","countryCapital","Euro","Marino"
"Saudi Arabia","Riyadh","countryCapital","Saudi Riyal","Saudi"
"Scotland","Edinburgh","countryCapital","United Kingdom Pound Sterling"
"Senegal","Dakar","countryCapital","West African Franc"
"Serbia","Belgrade","countryCapital","Serbian Dinar"
"Seychelles","Victoria","countryCapital","Seychellois Rupee"
"Sierra Leone","Freetown","countryCapital","Serria Leonenan Leone","Leone"
"Singapore","Singapore","countryCapital","Singapore Dollar"
"Slovakia","Bratislava","countryCapital","Euro"
"Slovenia","Ljubljana","countryCapital","Euro"
"Solomon Islands","Honiara","countryCapital","Solomon Islands Dollar","Solomon"
"Somalia","Mogadishu","countryCapital","Somalian Shilling"
"South Africa","Pretoria","countryCapital","South African Rand","SA","Africa"
"South Korea","Seoul","countryCapital","South Korean Won","Korea"
"South Sudan","Juba","countryCapital","South Sudanese Pound","South"
"Spain","Madrid","countryCapital","Euro"
"Sri Lanka","Sri Jayawardenapura Kotte","countryCapital","Sri Lankan Rupee","Lanka"
"Sudan","Khartoum","countryCapital","Sudanese Pound"
"Suriname","Paramaribo","countryCapital","Surinamese Dollar"
"Sweden","Stockholm","countryCapital","Swedish Krona"
"Switzerland","Bern","countryCapital","Swiss Franc"
"Syria","Damascus","countryCapital","Syrian Pound"
"São Tomé and Príncipe","São Tomé","countryCapital","Sao Tome and Principe Dobra","Sao Tome","Sao"
"Tajikistan","Dushanbe","countryCapital","Tajikistan Somoni"
"Tanzania","Dodoma","countryCapital","Tanzanian Shilling"
"Thailand","Bangkok","countryCapital","Thai Baht"
"Togo","Lomé","countryCapital","West African Franc"
"Tonga","Nukuʻalofa","countryCapital","Tonga Pa'anga"
"Trinidad and Tobago","Port of Spain","countryCapital","Trinidad and Tobago Dollar","Trinidad"
"Tunisia","Tunis","countryCapital","Tunisian Dinar"
"Turkey","Ankara","countryCapital","Turkish Lira"
"Turkmenistan","Ashgabat","countryCapital","Turkmenistan Manat"
"Turks and Caicos Islands","Cockburn Town","countryCapital","United States Dollar","Turks and Caicos","Turks"
"Tuvalu","Funafuti","countryCapital","Australian Dollar"
"Uganda","Kampala","countryCapital","Ugandan Shilling"
"Ukraine","Kiev","countryCapital","Ukranian Hryvnia"
"United Arab Emirates","Abu Dhabi","countryCapital","United Arab Emirates Dirham","UAE","Emirates"
"United Kingdom","London","countryCapital","United Kindgom Pound Sterling","UK","Kingdom"
"United States of America","Washington D.C.","countryCapital","United States Dollars","USA","America"
"Uzbekistan","Tashkent","countryCapital","Uzbekistani Som"
"Vanuatu","Port Vila","countryCapital","Vanuatu Vatu"
"Vatican City","Vatican City","countryCapital","Euro","Vatican"
"Venezuela","Caracas","countryCapital","Venezuelan Bolivar"
"Vietnam","Hanoi","countryCapital","Vietnamese Dong"
"Wales","Cardiff","countryCapital","United Kingdom Pound Sterling"
"Wallis and Futuna","Mata-Utu","countryCapital","CPC Franc"
"Yemen","Sanaá","countryCapital","Yemen Rial"
"Zambia","Lusaka","countryCapital","Zambian Kwacha"
"Zimbabwe","Harare","countryCapital","United States Dollar"
